# 6-311++G** with extra core-like P functions.
#
BASIS "ao basis" PRINT
#BASIS SET: (12s,6p,1d) -> [5s,4p,1d]
C    S
   4563.2400000              0.00196665       
    682.0240000              0.0152306        
    154.9730000              0.0761269        
     44.4553000              0.2608010        
     13.0290000              0.6164620        
      1.8277300              0.2210060        
C    SP
     20.9642000              0.1146600              0.0402487        
      4.8033100              0.9199990              0.2375940        
      1.4593300             -0.00303068             0.8158540        
C    SP
      0.4834560              1.0000000              1.0000000        
C    SP
      0.1455850              1.0000000              1.0000000        
C    SP
      0.0438000              1.0000000              1.0000000  
C    P
   4563.2400000              1.0000000  
C    P     
    682.0240000              1.0000000  
C    P      
    154.9730000              1.0000000   
C    P      
     44.4553000              1.0000000  
C    P       
     13.0290000              1.0000000  
C    P       
      1.8277300              1.0000000      
C    D
      0.6260000              1.0000000        
#BASIS SET: (12s,6p,1d) -> [5s,4p,1d]
N    S
   6293.4800000              0.00196979       
    949.0440000              0.0149613        
    218.7760000              0.0735006        
     63.6916000              0.2489370        
     18.8282000              0.6024600        
      2.7202300              0.2562020        
N    SP
     30.6331000              0.1119060              0.0383119        
      7.0261400              0.9216660              0.2374030        
      2.1120500             -0.00256919             0.8175920        
N    SP
      0.6840090              1.0000000              1.0000000        
N    SP
      0.2008780              1.0000000              1.0000000        
N    SP
      0.0639000              1.0000000              1.0000000 
N    P
   6293.4800000              1.0000000 
N    P     
    949.0440000              1.0000000   
N    P     
    218.7760000              1.0000000 
N    P      
     63.6916000              1.0000000 
N    P      
     18.8282000              1.0000000 
N    P      
      2.7202300              1.0000000        
N    D
      0.9130000              1.0000000        
#BASIS SET: (12s,6p,1d) -> [5s,4p,1d]
O    S
   8588.5000000              0.00189515       
   1297.2300000              0.0143859        
    299.2960000              0.0707320        
     87.3771000              0.2400010        
     25.6789000              0.5947970        
      3.7400400              0.2808020        
O    SP
     42.1175000              0.1138890              0.0365114        
      9.6283700              0.9208110              0.2371530        
      2.8533200             -0.00327447             0.8197020        
O    SP
      0.9056610              1.0000000              1.0000000        
O    SP
      0.2556110              1.0000000              1.0000000        
O    SP
      0.0845000              1.0000000              1.0000000   
O    P
   8588.5000000              1.0000000   
O    P    
   1297.2300000              1.0000000   
O    P     
    299.2960000              1.0000000  
O    P      
     87.3771000              1.0000000  
O    P      
     25.6789000              1.0000000  
O    P       
      3.7400400              1.0000000       
O    D
      1.2920000              1.0000000        
#BASIS SET: (12s,6p,1d) -> [5s,4p,1d]
F    S
  11427.1000000              0.00180093       
   1722.3500000              0.0137419        
    395.7460000              0.0681334        
    115.1390000              0.2333250        
     33.6026000              0.5890860        
      4.9190100              0.2995050        
F    SP
     55.4441000              0.1145360              0.0354609        
     12.6323000              0.9205120              0.2374510        
      3.7175600             -0.00337804             0.8204580        
F    SP
      1.1654500              1.0000000              1.0000000        
F    SP
      0.3218920              1.0000000              1.0000000        
F    SP
      0.1076000              1.0000000              1.0000000  
F    P
  11427.1000000              1.0000000  
F    P     
   1722.3500000              1.0000000  
F    P      
    395.7460000              1.0000000  
F    P      
    115.1390000              1.0000000  
F    P      
     33.6026000              1.0000000   
F    P      
      4.9190100              1.0000000        
F    D
      1.7500000              1.0000000        
#BASIS SET: (12s,6p,1d) -> [5s,4p,1d]
Ne    S
  13995.7000000              0.00183276       
   2117.1000000              0.0138827        
    490.4250000              0.0680687        
    143.8330000              0.2313280        
     41.9265000              0.5858900        
      6.1568400              0.3058830        
Ne    SP
     69.1211000              0.1191490              0.0356574        
     15.8350000              0.9173750              0.2394770        
      4.6732600             -0.00405839             0.8184610        
Ne    SP
      1.4575600              1.0000000              1.0000000        
Ne    SP
      0.3970570              1.0000000              1.0000000        
Ne    SP
      0.1300000              1.0000000              1.0000000   
Ne    P
  13995.7000000              1.0000000
Ne    P    
   2117.1000000              1.0000000  
Ne    P     
    490.4250000              1.0000000
Ne    P     
    143.8330000              1.0000000
Ne    P      
     41.9265000              1.0000000 
Ne    P       
      6.1568400              1.0000000      
Ne    D
      2.3040000              1.0000000        
